Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,Score,No_of_Votes,Publish_Year,Pages
The Color of Jade ,Jade,Mae Redding ,Action-Adventure,4.5,12,7,200,2,"July 12, 2015",375
Hidden Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.12,"18,732",609,275,4,"May 11, 2004",440
The Hard Times,,Russell Scott,Action-Adventure,4.1,20,6,200,2,"September 1, 2015",230
White Oleander,,Janet Fitch ,Action-Adventure,3.99,"3,50,841","8,921",178,2,"January 1, 1999",446
Beyond Sanctuary,,Janet E. Morris ,Action-Adventure,3.9,"1,940",44,370,4,"January 1, 1985",398
Mount Dragon,,Douglas Preston ,Action-Adventure,3.95,"17,461",478,548,6,"January 1, 1996",512
The Young Elites ,The Young Elites,Marie Lu ,Action-Adventure,3.87,"1,34,651","15,127",275,3,"October 7, 2014",355
The Beast of Cretacea,,Todd Strasser ,Action-Adventure,4.1,577,102,"2,179",22,"October 13, 2015",
Summit: A Novel,,Harry Farthing ,Action-Adventure,4.2,"1,560",208,200,2,"January 21, 2014",418
The Postman Always Rings Twice,,James M. Cain,Action-Adventure,3.77,"42,318","3,392","1,036",11,"January 1, 1934",116
The Last Juror,,John Grisham ,Action-Adventure,3.93,"98,750","2,907",368,5,"February 3, 2004",278
Congo,,Michael Crichton,Action-Adventure,3.62,"1,70,180","2,756","6,254",67,"January 1, 1980",480
Mystic River,,Dennis Lehane ,Action-Adventure,4.17,"1,43,866","4,807",275,3,"January 1, 2001",416
Bad Blood ,Virgil Flowers,John Sandford,Action-Adventure,4.21,"30,119","1,403",367,6,"September 21, 2010",388
Extreme Measures ,Mitch Rapp,Vince Flynn,Action-Adventure,4.33,"52,940","1,123",548,8,"October 20, 2008",448
The Bachman Books,,Richard Bachman ,Action-Adventure,4.14,"72,259","1,046",178,2,"January 1, 1986",704
Vagabonds in France,,Michael  A. Barry,Action-Adventure,3.81,70,11,200,2,"December 24, 2016",266
Peter Pan,,J.M. Barrie,Action-Adventure,4.04,"3,43,132","16,035",365,5,"December 27, 1911",176
The Shining ,The Shining,Stephen King ,Action-Adventure,4.27,"14,55,254","37,477","2,179",25,"January 28, 1977",497
State of the Union ,Scot Harvath,Brad Thor ,Action-Adventure,4.22,"27,579",667,"1,035",12,"January 27, 2004",560
The Adventures of Huckleberry Finn,,Mark Twain,Action-Adventure,3.83,"12,57,082","19,224",365,6,"February 18, 1884",327
Killing Floor,,Lee Child ,Action-Adventure,4.07,"3,11,963","13,609","6,225",67,"January 1, 1997",474
Doctor Sleep ,The Shining,Stephen King ,Action-Adventure,4.13,"2,56,396","23,037",274,3,"September 24, 2013",531
The Girl Who Played with Fire ,Millennium,Stieg Larsson,Action-Adventure,4.25,"9,13,446","36,935","6,191",68,"June 1, 2006",503
Left Behind ,Left Behind,Tim LaHaye,Action-Adventure,3.85,"2,30,821","4,384",363,5,"September 29, 1995",470
Treasure ,Dirk Pitt,Clive Cussler,Action-Adventure,3.95,"15,494",397,544,8,"November 1, 1988",544
Last of the Breed,,Louis L'Amour,Action-Adventure,4.27,"13,270","1,165","1,019",12,"June 1, 1986",371
Ulysses,,James Joyce,Action-Adventure,3.75,"1,26,645","9,235",178,3,"February 2, 1922",783
All Systems Down ,The Cyber War,Sam Boush ,Action-Adventure,3.79,250,83,200,2,"February 8, 2018",240
The Charm School,,Nelson DeMille ,Action-Adventure,4.28,"37,709","1,644","2,168",23,"April 1, 1988",816
Soulless ,Parasol Protectorate,Gail Carriger ,Action-Adventure,3.9,"1,09,916","11,045",273,4,"September 4, 2009",357
Hollow Kingdom ,Hollow Kingdom,Kira Jane Buxton ,Action-Adventure,3.84,"19,938","4,181",200,2,"August 6, 2019",308
Subterranean,,James Rollins ,Action-Adventure,4.02,"26,238",946,"2,108",24,"June 1, 1999",410
Word of Honor,,Nelson DeMille ,Action-Adventure,4.22,"11,702",455,540,7,"November 1, 1985",738
The Last Run ,Peter Black,David Archer,Action-Adventure,4.34,"1,125",18,"6,040",63,"October 24, 2023",305
Watership Down ,Watership Down,Richard  Adams,Action-Adventure,4.08,"4,76,357","17,111",177,3,"November 1, 1972",478
Amie: CUT FOR LIFE ,Amie in Africa Book,Lucinda E. Clarke ,Action-Adventure,4.78,45,25,363,4,"September 30, 2017",336
From Russia With Love ,James Bond,Ian Fleming,Action-Adventure,3.9,"35,313","1,584","1,013",13,"January 1, 1957",259
One Flew Over the Cuckoo's Nest,,Ken Kesey,Action-Adventure,4.2,"7,24,343","15,510","2,107",24,"January 1, 1962",325
The Woods,,Harlan Coben ,Action-Adventure,4.05,"98,460","5,811",177,2,"January 1, 2007",404
The Gunslinger ,The Dark Tower,Stephen King ,Action-Adventure,3.93,"6,01,784","24,261",537,7,"June 1, 1982",231
Ice Station Zebra,,Alistair MacLean,Action-Adventure,4.01,"18,990",412,"1,012",13,"April 1, 1963",254
The Municipalists,,Seth Fried,Action-Adventure,3.6,"2,889",467,200,2,"March 19, 2019",272
The Ruins of Gorlan ,Ranger's Apprentice,John Flanagan,Action-Adventure,4.25,"1,56,202","10,015",272,3,"November 1, 2004",249
Dark Rooms,,Lili Anolik ,Action-Adventure,3.11,"3,256",377,177,2,"March 1, 2015",336
Cold Mountain,,Charles Frazier,Action-Adventure,3.88,"2,41,363","6,471",362,5,"January 1, 1997",356
Savage Grounds ,Dalton Savage,L.T. Ryan ,Action-Adventure,4.29,"4,888",114,"5,849",61,"November 8, 2022",255
Aldaraia,,Clinchandhill ,Action-Adventure,4.6,55,2,200,2,"January 19, 2019",482
Centennial,,James A. Michener,Action-Adventure,4.25,"42,918","1,047","1,009",12,"January 1, 1974",1056
The Bear and the Dragon  ,"John Clark, #3; Jack Ryan Universe",Tom Clancy,Action-Adventure,3.89,"29,344",660,534,8,"August 21, 2000",1137
The Eight ,The Eight,Katherine Neville,Action-Adventure,3.92,"42,502","3,099",176,2,"December 27, 1988",598
The Maze Runner ,The Maze Runner,James Dashner ,Action-Adventure,4.05,"14,89,003","64,352","5,841",62,"October 6, 2009",384
Starship Troopers,,Robert A. Heinlein,Action-Adventure,4.01,"2,25,021","7,208","2,100",24,"December 1, 1959",264
Deadly Diamond: A Diamond to Die For,,Rob W. Davis ,Action-Adventure,4.75,8,0,200,2,"November 26, 2018",318
Modesty Blaise ,Modesty Blaise,Peter O'Donnell,Action-Adventure,3.99,"1,454",193,272,3,"January 1, 1965",224
The Club Dumas,,Arturo Pérez-Reverte,Action-Adventure,3.81,"40,990","2,434",362,4,"January 1, 1993",362
The Aeneid,,Virgil,Action-Adventure,3.86,"1,28,134","4,154",176,2,"January 1, 20",442
The Alaska Job ,Case Lee,Vince Milam ,Action-Adventure,4.47,"1,414",51,"5,659",59,"May 30, 2023",316
Animal Farm,,George Orwell,Action-Adventure,3.98,"37,86,634","92,221",528,7,"August 17, 1945",128
The Travelers Within: Into The Unknown,,Daniel Mode ,Action-Adventure,4.05,93,22,"1,000",10,"July 6, 2020",389
Dark State ,Jason Trapp,Jack     Slater ,Action-Adventure,4.43,"10,316",467,"5,645",59,"December 15, 2021",454
A Very Important Teapot,,Steve  Sheppard ,Action-Adventure,4.37,63,37,200,2,"October 18, 2019",268
The Locked Door,,Freida McFadden ,Action-Adventure,4.12,"1,83,840","12,659","2,100",22,"June 1, 2021",313
Ready Player One ,Ready Player One,Ernest Cline ,Action-Adventure,4.23,"11,42,510","1,01,132","5,518",60,"August 16, 2011",374
The Last Olympian ,Percy Jackson and the Olympians,Rick Riordan ,Action-Adventure,4.54,"9,60,170","38,082",524,8,"May 5, 2009",381
Heat Lightning ,Virgil Flowers,John Sandford,Action-Adventure,4.16,"28,650","1,117",359,5,"September 23, 2008",388
The Ice Limit - La barrière de glace ,Ice Limit,Douglas Preston ,Action-Adventure,4,"21,383",905,976,11,"July 18, 2000",491
The Left Hand of God ,The Left Hand of God,Paul  Hoffman,Action-Adventure,3.65,"18,277","1,366",176,2,"January 7, 2010",436
"Moral Compass: To Be, or Not to Be",,Bryant Johnson,Action-Adventure,4.36,72,15,200,2,"November 2, 2019",224
Seasonable Doubt,,Robin      James ,Action-Adventure,4.39,"1,119",28,"5,376",56,"November 20, 2023",302
Last Sacrifice ,Vampire Academy,Richelle Mead ,Action-Adventure,4.37,"2,85,104","12,525",272,3,"December 7, 2010",594
Amie: An African Adventure,,Lucinda E. Clarke ,Action-Adventure,4.06,374,99,359,4,"July 17, 2014",384
Black Wind ,Dirk Pitt,Clive Cussler,Action-Adventure,3.91,"14,138",506,521,9,"November 30, 2004",639
Braziliada: A journey of discovery and adventure,,Sheridan West ,Action-Adventure,3.62,13,14,200,2,"August 23, 2020",306
Rainbow Six ,"John Clark, #2; Jack Ryan Universe",Tom Clancy,Action-Adventure,4.12,"53,894","1,389",975,14,"August 3, 1998",912
The Odyssey,,Homer,Action-Adventure,3.8,"10,59,402","18,472","2,088",26,"January 1, 701",541
Dracula,,Bram Stoker,Action-Adventure,4.01,"12,47,365","44,469",176,3,"May 26, 1897",488
The Stand,,Stephen King ,Action-Adventure,4.35,"7,48,596","28,769",359,5,"January 1, 1978",1152
Napoleon's Pyramids ,Ethan Gage,William  Dietrich ,Action-Adventure,3.54,"4,405",480,272,3,"January 1, 2007",376
The Southern Lawyer ,Joe Hennessy Legal Thriller,Peter O'Mahoney ,Action-Adventure,4.23,"15,089",240,"5,357",56,"February 28, 2022",334
Consent to Kill ,Mitch Rapp,Vince Flynn,Action-Adventure,4.39,"48,924","1,263",520,8,"October 11, 2005",675
CRIES FROM THE DEEP,,Anthony Hulse ,Action-Adventure,4.57,97,2,176,2,"August 13, 2013",214
Trojan Odyssey ,Dirk Pitt,Clive Cussler,Action-Adventure,3.96,"18,796",495,"2,083",23,"November 24, 2003",463
Indigo Lost,,Aleksandar Gutovic ,Action-Adventure,4.14,7,0,200,2,"November 23, 2020",274
My Side of the Mountain ,Mountain,Jean Craighead George,Action-Adventure,4.09,"76,180","4,357",271,3,"January 1, 1959",177
Red Dragon ,Hannibal Lecter,Thomas  Harris,Action-Adventure,4.06,"3,28,065","7,427",972,12,"October 1, 1981",454
Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,Action-Adventure,3.83,"5,63,690","22,023",516,7,"January 5, 1886",139
I Am Legend and Other Stories,,Richard Matheson,Action-Adventure,4,"1,30,492","5,661",357,5,"January 1, 1954",317
Legacy ,Event Group Thriller,David L. Golemon,Action-Adventure,4.21,"1,382",69,175,2,"August 16, 2011",432
Eyes ,Half-Alive,Nghịch Tử ,Action-Adventure,4.38,48,19,200,2,"May 12, 2021",211
Timeline,,Michael Crichton,Action-Adventure,3.86,"2,05,190","5,681",271,4,"November 16, 1999",489
Night Owl ,Trasker,Andrew Mayne ,Action-Adventure,4.19,"6,640",291,"5,342",56,"October 17, 2023",312
The Maltese Falcon,,Dashiell Hammett,Action-Adventure,3.88,"1,05,540","6,388","2,039",25,"January 1, 1930",213
An Invisible Client,,Victor Methos ,Action-Adventure,4.41,"15,077",822,970,10,"January 26, 2016",240
A Falcon Flies ,The Ballantyne Novels,Wilbur Smith,Action-Adventure,4.08,"6,010",176,510,7,"January 1, 1980",704
Force Of Nature ,Joe Pickett,C.J. Box,Action-Adventure,4.35,"17,850","1,108",175,3,"March 20, 2012",385
Into the Darkest Corner,,Elizabeth Haynes ,Action-Adventure,4.07,"69,239","6,294",356,4,"February 13, 2007",450
Burning Evidence: A Legal Thriller filled with Gripping Courtroom Drama ,Small Town Lawyer Book,Peter Kirkland,Action-Adventure,4.27,695,24,"5,306",55,"October 26, 2023",336
Iron House,,John Hart ,Action-Adventure,4.08,"16,935","1,995",270,3,"January 25, 2012",421
The Return of the Native,,Thomas Hardy,Action-Adventure,3.87,"38,177","1,974",175,3,"January 1, 1878",426
City of Dreams,,Don Winslow ,Action-Adventure,4.07,"8,588",768,969,10,"April 18, 2023",352
The Institute,,Stephen King ,Action-Adventure,4.2,"2,59,939","25,715",200,2,"September 10, 2019",561
Thunderhead ,Nora Kelly,Douglas Preston ,Action-Adventure,4.12,"29,845","1,117","2,038",22,"January 1, 1999",531
The Namatjira Connection ,Genevieve Lenard,Estelle Ryan ,Action-Adventure,4.29,612,33,"5,289",55,"November 28, 2023",259
The Covenant,,James A. Michener,Action-Adventure,4.21,"20,976",555,355,6,"January 1, 1980",1240
Executive Power ,Mitch Rapp,Vince Flynn,Action-Adventure,4.32,"45,410","1,037",508,8,"May 6, 2003",512
The Long Ships,,Frans G. Bengtsson,Action-Adventure,4.26,"10,738","1,109",174,2,"January 1, 1954",478
Debt of Honor ,Jack Ryan,Tom Clancy,Action-Adventure,4.09,"48,512",747,966,13,"August 17, 1994",990
The Survival Rule ,"A Rain City Legal Thriller, Book",Stephen Penner ,Action-Adventure,4.19,836,15,"5,195",54,"November 29, 2023",244
Esther's Sling,,Ben Brunson ,Action-Adventure,4.44,27,5,965,10,"May 1, 2013",
Twenty Years Later,,Charlie Donlea ,Action-Adventure,4.24,"82,727","5,661","2,030",21,"December 28, 2021",357
Rough Country ,Virgil Flowers,John Sandford,Action-Adventure,4.2,"24,799","1,169",270,4,"September 29, 2009",388
Amie   Stolen Future,,Lucinda E. Clarke ,Action-Adventure,4.71,66,33,355,4,"October 24, 2016",320
Mammoth,,Brian  McBride ,Action-Adventure,4.2,171,94,200,2,"May 6, 2022",536
The Cabinet of Curiosities ,"Pendergast, #3; Nora Kelly",Douglas Preston ,Action-Adventure,4.26,"50,428","2,769",502,6,"June 3, 2002",629
One Last Kill ,Tracy Crosswhite,Robert Dugoni ,Action-Adventure,4.5,"12,752",712,"2,029",21,"October 3, 2023",351
The Moon Maid,,Edgar Rice Burroughs,Action-Adventure,3.67,848,73,174,2,"January 1, 1923",227
Executive Orders ,Jack Ryan,Tom Clancy,Action-Adventure,4.1,"50,257",799,"5,167",56,"August 12, 1996",1273
Imperium ,Cicero,Robert   Harris ,Action-Adventure,4.12,"34,080","2,315",353,4,"September 19, 2006",481
The Dog Stars,,Peter Heller,Action-Adventure,3.95,"63,477","8,196",270,4,"August 7, 2012",336
Apostle of the Tyrants,,Anthony Hulse ,Action-Adventure,4.42,104,16,965,10,"May 1, 2014",258
Finding Fabi,,Geoffrey Robert ,Action-Adventure,5,3,1,200,2,"May 19, 2023",364
The Hitchhiker's Guide to the Galaxy ,Hitchhiker's Guide to the Galaxy,Douglas Adams,Action-Adventure,4.23,"18,10,003","43,910",501,7,"October 12, 1979",216
The Zombie Room,,R.D. Ronald,Action-Adventure,3.75,"28,339",397,"2,023",22,"July 26, 2012",218
Storm Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.19,"22,250","1,056",350,5,"May 18, 2010",408
Out of Bounds ,Inspector Karen Pirie,Val McDermid,Action-Adventure,4.15,"9,939",807,965,10,"December 6, 2016",464
Harry Potter and the Deathly Hallows ,Harry Potter,J.K. Rowling,Action-Adventure,4.62,"36,31,123","83,418","5,145",58,"July 21, 2007",759
Rock Dance,,Jack Ballard Jr.,Action-Adventure,3.4,5,3,199,2,"October 29, 2008",168
Crown of Midnight ,Throne of Glass,Sarah J. Maas ,Action-Adventure,4.35,"8,53,701","61,839",270,3,"August 15, 2013",420
Inside Out ,Insider,Maria V. Snyder ,Action-Adventure,3.82,"24,354","1,932",174,3,"January 1, 2010",320
Progeny,,Patrick C. Greene ,Action-Adventure,3.72,395,66,500,5,"January 1, 2012",230
Watchers,,Dean Koontz ,Action-Adventure,4.18,"1,63,453","4,954",350,4,"January 1, 1987",624
Will ,Sacrifice,A.C. Heller ,Action-Adventure,4.22,18,4,199,2,"March 31, 2014",199
Black Fire,,William Kely McClung ,Action-Adventure,4.3,"5,910",34,"4,978",52,"February 25, 2023",517
Deep Six ,Dirk Pitt,Clive Cussler,Action-Adventure,3.91,"17,471",390,"1,956",23,"January 1, 1984",432
Vigilante ,Vigilante,Claude Bouchard ,Action-Adventure,3.83,"1,497",197,174,2,"January 1, 2009",252
The Dead Zone,,Stephen King ,Action-Adventure,3.96,"2,20,185","6,462",269,3,"August 30, 1979",402
Night Fall ,John Corey,Nelson DeMille ,Action-Adventure,4.12,"33,287","1,666",963,12,"November 1, 2004",692
The Magician's Nephew ,Chronicles of Narnia,C.S. Lewis,Action-Adventure,4.05,"5,30,488","20,105","1,951",23,"May 2, 1955",221
Gorky Park ,Arkady Renko,Martin Cruz Smith,Action-Adventure,4.04,"67,592","1,429",349,5,"January 1, 1981",433
The Fear and the Solace ,The Kyrennei,Arie Farnam ,Action-Adventure,4.5,28,7,199,2,"October 8, 2014",280
The Asset ,Lance Spector,Saul Herzog ,Action-Adventure,4.29,"9,536",328,"4,865",50,"April 10, 2020",528
No Country for Old Men,,Cormac McCarthy,Action-Adventure,4.15,"1,94,238","11,426",268,4,"July 19, 2005",309
Airframe,,Michael Crichton,Action-Adventure,3.73,"83,612","2,459",500,7,"January 2, 1996",431
By the Rivers of Babylon,,Nelson DeMille ,Action-Adventure,3.93,"8,084",342,348,6,"July 7, 1978",460
One Lost Soul ,Hidden Norfolk,J.M. Dalgliesh ,Action-Adventure,4.07,"17,672",475,954,10,"October 5, 2019",294
The Soft Machine ,The Nova Trilogy,William S. Burroughs,Action-Adventure,3.43,"6,468",392,174,2,"January 1, 1961",184
The Marlowe Conspiracy,,M.G. Scarsbrook ,Action-Adventure,3.32,184,20,264,3,"October 18, 2010",424
The Soul and the Seed ,The Kyrennei,Arie Farnam ,Action-Adventure,4.12,66,23,199,2,"August 13, 2014",231
Treasure of Khan ,Dirk Pitt,Clive Cussler,Action-Adventure,3.95,"14,667",504,"1,943",22,"November 28, 2006",552
Red Storm Rising,,Tom Clancy,Action-Adventure,4.2,"79,299","1,411","4,815",54,"August 28, 1986",
Cryptonomicon,,Neal Stephenson ,Action-Adventure,4.24,"1,11,513","5,980",174,2,"May 1, 1999",918
Poet Anderson ...of Nightmares,,Tom DeLonge ,Action-Adventure,4.04,"1,172",205,500,5,"October 6, 2015",368
Planet of the Apes,,Pierre Boulle,Action-Adventure,3.98,"41,195","2,338",264,4,"January 1, 1963",276
Journey to the Center of the Earth,,Jules Verne,Action-Adventure,3.85,"1,96,382","8,317","1,938",25,"November 25, 1864",240
The Alexandria Link ,Cotton Malone,Steve Berry ,Action-Adventure,3.94,"41,742","1,451",347,4,"January 30, 2007",462
The General's Daughter,,Nelson DeMille ,Action-Adventure,4.1,"63,858",872,945,11,"November 16, 1992",464
Pirates: The Midnight Passage,,James R. Hannibal ,Action-Adventure,4.29,24,9,199,2,"May 11, 2010",
Sahara ,Dirk Pitt,Clive Cussler,Action-Adventure,3.98,"58,791","1,075","4,756",52,"June 1, 1992",649
Music City Macabre ,The Low Lying Lands,Bob  Williams ,Action-Adventure,4.13,52,22,500,5,"December 4, 2015",197
Jackdaws,,Ken Follett ,Action-Adventure,4.05,"37,897","1,766",937,12,"December 3, 2001",432
Without Remorse ,"John Clark, #1; Jack Ryan Universe Publication Order",Tom Clancy,Action-Adventure,4.21,"70,755","1,771","1,927",24,"August 11, 1993",750
Angels & Demons ,Robert Langdon,Dan Brown ,Action-Adventure,3.94,"31,57,708","33,480","4,756",53,"May 1, 2000",736
58 Minutes ,Die Hard,Walter Wager,Action-Adventure,3.55,411,49,263,4,"December 31, 1987",260
Scorpia ,Alex Rider,Anthony Horowitz ,Action-Adventure,4.18,"58,357","1,572",173,2,"April 1, 2004",388
Mortal Showdown ,Oligarch,Nik Krasno ,Action-Adventure,3.94,47,28,199,2,"June 1, 2015",250
Defender of the Realm ,Defender of England,Corey Holst ,Action-Adventure,3.95,62,20,499,5,"May 4, 2009",358
Brand of the Werewolf ,Doc Savage,Kenneth Robeson ,Action-Adventure,3.6,339,43,346,4,"January 1, 1934",138
Excavation,,James Rollins ,Action-Adventure,4.05,"19,995",764,263,4,"July 3, 2000",416
Death Leaves a Shadow ,Marlowe Black Mystery,Gabriel F.W. Koch ,Action-Adventure,4.3,"16,399",40,"1,924",20,"June 9, 2020",
Only Time Will Tell ,The Clifton Chronicles,Jeffrey Archer ,Action-Adventure,4.1,"89,014","6,350",929,12,"May 12, 2011",400
Gravity Games,,John Matsui ,Action-Adventure,4.26,31,18,199,2,"October 24, 2015",286
The Nowhere Man ,Orphan X,Gregg Andrew Hurwitz ,Action-Adventure,4.14,"25,834","2,206","4,692",49,"January 17, 2017",369
Don Quixote,,Miguel de Cervantes Saavedra,Action-Adventure,3.89,"2,65,924","11,817",344,5,"January 1, 1605",1023
The Undead Pool ,The Hollows,Kim Harrison ,Action-Adventure,4.44,"28,596","1,880",173,3,"February 25, 2014",423
Invisible Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.17,"19,608",766,263,4,"May 15, 2007",384
The Athena Project,,Brad Thor ,Action-Adventure,3.87,"12,567",788,498,7,"November 23, 2010",336
The Magus Covenant ,The Jotham Fletcher Mystery Thriller Series,Toni Pike ,Action-Adventure,3.73,73,18,199,2,"December 3, 2015",309
The 5 Greatest Warriors ,Jack West Jr,Matthew Reilly,Action-Adventure,4.27,"17,437",561,916,10,"November 1, 2009",400
The Last Battle ,Chronicles of Narnia,C.S. Lewis,Action-Adventure,4.01,"2,71,486","9,924",173,3,"September 4, 1956",288
The Rime of the Ancient Mariner,,Samuel Taylor Coleridge,Action-Adventure,3.96,"58,453","1,473",341,5,"January 1, 1792",77
Night Probe! ,Dirk Pitt,Clive Cussler,Action-Adventure,3.91,"14,655",369,"1,923",23,"January 1, 1981",345
